_id,quarter,industry1,industry2,industry3,employment_change
1437,2004-Q3,services,"community, social and personal services",education,-1.9
1438,2004-Q3,services,"community, social and personal services",public administration,0.9
1439,2004-Q3,services,"community, social and personal services",health and social services,0.4
1440,2004-Q3,services,"community, social and personal services","other community, social and personal services",2.5
1441,2004-Q3,others,others,others,-0.2
1442,2004-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
1443,2004-Q4,manufacturing,textile and wearing apparel,paper products and printing,0.1
1444,2004-Q4,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.4
1445,2004-Q4,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-
1446,2004-Q4,manufacturing,fabricated metal products,fabricated metal products,0.2
1447,2004-Q4,manufacturing,machinery and equipment,machinery and equipment,1.3
1448,2004-Q4,manufacturing,electrical products,electrical products,-0.1
1449,2004-Q4,manufacturing,electronic products,electronic products,1.4
1450,2004-Q4,manufacturing,medical and precision instruments,medical and precision instruments,0.2
1451,2004-Q4,manufacturing,transport equipment,transport equipment,1.8
1452,2004-Q4,manufacturing,other manufacturing industries,other manufacturing industries,0.4
1453,2004-Q4,construction,construction,construction,-1.1
1454,2004-Q4,services,wholesale and retail trade,wholesale trade,3.4
1455,2004-Q4,services,wholesale and retail trade,retail trade,3.3
1456,2004-Q4,services,transport and storage,land transport and supporting services,0.5
1457,2004-Q4,services,transport and storage,water transport and supporting services,0.6
1458,2004-Q4,services,transport and storage,air transport and supporting services,-0.6
1459,2004-Q4,services,transport and storage,other transport and storage services,0.6
1460,2004-Q4,services,hotels and restaurants,hotels,1.9
1461,2004-Q4,services,hotels and restaurants,restaurants,2.7
1462,2004-Q4,services,information and communications,broadcasting and publishing,-
1463,2004-Q4,services,information and communications,telecommunications,-
1464,2004-Q4,services,information and communications,it and other information services,0.3
1465,2004-Q4,services,financial services,financial institutions,1.5
1466,2004-Q4,services,financial services,insurance,0.5
1467,2004-Q4,services,real estate and leasing services,real estate and leasing services,1.6
1468,2004-Q4,services,professional services,"legal, accounting and management services",0.9
1469,2004-Q4,services,professional services,architectural and engineering services,0.8
1470,2004-Q4,services,professional services,other professional services,0.6
1471,2004-Q4,services,"community, social and personal services",public administration and education,2.2
1472,2004-Q4,services,"community, social and personal services",education,0.7
1473,2004-Q4,services,"community, social and personal services",public administration,1.5
1474,2004-Q4,services,"community, social and personal services",health and social services,0.5
1475,2004-Q4,services,"community, social and personal services","other community, social and personal services",2.9
1476,2004-Q4,others,others,others,0.1
1477,2005-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
1478,2005-Q1,manufacturing,textile and wearing apparel,paper products and printing,0.3
1479,2005-Q1,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.5
1480,2005-Q1,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.1
1481,2005-Q1,manufacturing,fabricated metal products,fabricated metal products,0.3
1482,2005-Q1,manufacturing,machinery and equipment,machinery and equipment,1.1
1483,2005-Q1,manufacturing,electrical products,electrical products,0.1
1484,2005-Q1,manufacturing,electronic products,electronic products,0.3
1485,2005-Q1,manufacturing,medical and precision instruments,medical and precision instruments,0.2
1486,2005-Q1,manufacturing,transport equipment,transport equipment,2.4
1487,2005-Q1,manufacturing,other manufacturing industries,other manufacturing industries,-0.2
1488,2005-Q1,construction,construction,construction,1.5
1489,2005-Q1,services,wholesale and retail trade,wholesale trade,0.9
1490,2005-Q1,services,wholesale and retail trade,retail trade,1.3
1491,2005-Q1,services,transport and storage,land transport and supporting services,0.5
1492,2005-Q1,services,transport and storage,water transport and supporting services,1.1
1493,2005-Q1,services,transport and storage,air transport and supporting services,-0.5
1494,2005-Q1,services,transport and storage,other transport and storage services,0.3
1495,2005-Q1,services,hotels and restaurants,hotels,-0.9
1496,2005-Q1,services,hotels and restaurants,restaurants,-0.3
1497,2005-Q1,services,information and communications,broadcasting and publishing,-0.3
1498,2005-Q1,services,information and communications,telecommunications,-0.1
1499,2005-Q1,services,information and communications,it and other information services,0.3
1500,2005-Q1,services,financial services,financial institutions,2
1501,2005-Q1,services,financial services,insurance,0.2
1502,2005-Q1,services,real estate and leasing services,real estate and leasing services,0.1
1503,2005-Q1,services,professional services,"legal, accounting and management services",-0.6
1504,2005-Q1,services,professional services,architectural and engineering services,-
1505,2005-Q1,services,professional services,other professional services,0.1
1506,2005-Q1,services,"community, social and personal services",public administration and education,1.2
1507,2005-Q1,services,"community, social and personal services",education,0.8
1508,2005-Q1,services,"community, social and personal services",public administration,0.4
1509,2005-Q1,services,"community, social and personal services",health and social services,0.6
1510,2005-Q1,services,"community, social and personal services","other community, social and personal services",3.1
1511,2005-Q1,others,others,others,0.3
1512,2005-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.4
1513,2005-Q2,manufacturing,textile and wearing apparel,paper products and printing,0.3
1514,2005-Q2,manufacturing,paper products and publishing,"petroleum, chemical and pharmaceutical products",0.8
1515,2005-Q2,manufacturing,"petroleum, chemical, rubber and plastic products",rubber and plastic products,-0.4
1516,2005-Q2,manufacturing,fabricated metal products,fabricated metal products,0.5
1517,2005-Q2,manufacturing,machinery and equipment,machinery and equipment,1.5
1518,2005-Q2,manufacturing,electrical products,electrical products,-
1519,2005-Q2,manufacturing,electronic products,electronic products,1.1
1520,2005-Q2,manufacturing,medical and precision instruments,medical and precision instruments,0.4
1521,2005-Q2,manufacturing,transport equipment,transport equipment,4.2
1522,2005-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.5
1523,2005-Q2,construction,construction,construction,3.4
1524,2005-Q2,services,wholesale and retail trade,wholesale trade,1.7
1525,2005-Q2,services,wholesale and retail trade,retail trade,0.9
1526,2005-Q2,services,transport and storage,land transport and supporting services,0.2
1527,2005-Q2,services,transport and storage,water transport and supporting services,0.7
1528,2005-Q2,services,transport and storage,air transport and supporting services,0.3
1529,2005-Q2,services,transport and storage,other transport and storage services,0.3
1530,2005-Q2,services,hotels and restaurants,hotels,-0.3
1531,2005-Q2,services,hotels and restaurants,restaurants,0.7
1532,2005-Q2,services,information and communications,broadcasting and publishing,0.2
1533,2005-Q2,services,information and communications,telecommunications,-0.1
1534,2005-Q2,services,information and communications,it and other information services,1.1
1535,2005-Q2,services,financial services,financial institutions,1.5
1536,2005-Q2,services,financial services,insurance,0.5
1537,2005-Q2,services,real estate and leasing services,real estate and leasing services,0.3
1538,2005-Q2,services,professional services,"legal, accounting and management services",1.3
1539,2005-Q2,services,professional services,architectural and engineering services,0.5
1540,2005-Q2,services,professional services,other professional services,0.8
1541,2005-Q2,services,"community, social and personal services",public administration and education,1.1
1542,2005-Q2,services,"community, social and personal services",education,0.5
1543,2005-Q2,services,"community, social and personal services",public administration,0.6
1544,2005-Q2,services,"community, social and personal services",health and social services,0.4
1545,2005-Q2,services,"community, social and personal services","other community, social and personal services",2.8
1546,2005-Q2,others,others,others,0.1
1547,2005-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.9
1548,2005-Q3,manufacturing,textile and wearing apparel,paper products and printing,0.3
